@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3290,'2017/03/22 18:36:12:383',3,0.918979,0.831249,1
3291,'2017/03/22 18:36:12:487',3,0.935679,0.831249,1
3292,'2017/03/22 18:36:12:487',3,0.935679,0.844681,1
3293,'2017/03/22 18:36:12:553',3,0.952379,0.844681,1
3294,'2017/03/22 18:36:12:553',3,0.952379,0.858195,1
3295,'2017/03/22 18:36:12:703',3,0.968857,0.858195,1
3296,'2017/03/22 18:36:12:703',3,0.968857,0.871489,1
3297,'2017/03/22 18:36:12:770',3,0.98504,0.871489,1
3298,'2017/03/22 18:36:12:770',3,0.98504,0.884673,1
3299,'2017/03/22 18:36:12:853',3,1,0.884673,1
3300,'2017/03/22 18:36:12:853',3,1,0.897858,1
3301,'2017/03/22 18:36:13:003',3,1,0.897858,1
3302,'2017/03/22 18:36:13:003',3,1,0.911042,1
3303,'2017/03/22 18:36:13:069',3,1,0.911042,1
3304,'2017/03/22 18:36:13:069',3,1,0.923734,1
3305,'2017/03/22 18:36:13:137',3,1,0.923734,1
3306,'2017/03/22 18:36:13:137',3,1,0.935647,1
3307,'2017/03/22 18:36:13:288',3,1,0.935647,1
3308,'2017/03/22 18:36:13:288',3,1,0.946335,1
3309,'2017/03/22 18:36:13:369',3,1,0.946335,1
3310,'2017/03/22 18:36:13:369',3,1,0.946335,1
3311,'2017/03/22 18:36:13:434',3,1,0.946335,1
3312,'2017/03/22 18:36:13:436',3,1,0.946335,1
3313,'2017/03/22 18:36:13:636',3,1,0.946335,1
3314,'2017/03/22 18:36:13:636',3,1,0.946335,1
3315,'2017/03/22 18:36:13:651',3,1,0.946335,1
3316,'2017/03/22 18:36:13:651',3,1,0.946335,1
3317,'2017/03/22 18:36:13:803',3,1,0.946335,1
3318,'2017/03/22 18:36:13:803',3,1,0.946335,1
3319,'2017/03/22 18:36:13:887',3,1,0.946335,1
3320,'2017/03/22 18:36:13:887',3,1,0.946335,1
3321,'2017/03/22 18:36:13:950',3,1,0.946335,1
3322,'2017/03/22 18:36:13:951',3,1,0.946335,1
3323,'2017/03/22 18:36:14:103',3,1,0.946335,1
3324,'2017/03/22 18:36:14:103',3,1,0.9356,1
3325,'2017/03/22 18:36:14:200',3,1,0.9356,1
3326,'2017/03/22 18:36:14:200',3,1,0.922514,1
3327,'2017/03/22 18:36:14:242',3,1,0.922514,1
3328,'2017/03/22 18:36:14:242',3,1,0.906868,1
3329,'2017/03/22 18:36:14:383',3,1,0.906868,1
3330,'2017/03/22 18:36:14:383',3,1,0.892347,1
